true,brazilian,british,cajun_creole,chinese,filipino,french,greek,indian,irish,italian,jamaican,japanese,korean,mexican,moroccan,russian,southern_us,spanish,thai,vietnamese
brazilian,0.3888888888888889,0,0,0,0,0.03333333333333333,0,0.06666666666666667,0,0.14444444444444443,0,0,0,0.25555555555555554,0,0,0.1,0,0.011111111111111112,0
british,0,0.030864197530864196,0,0.012345679012345678,0,0.19753086419753085,0.006172839506172839,0.012345679012345678,0.06172839506172839,0.19753086419753085,0,0,0,0.012345679012345678,0,0,0.4567901234567901,0.012345679012345678,0,0
cajun_creole,0,0.003424657534246575,0.636986301369863,0.00684931506849315,0,0.0136986301369863,0,0.003424657534246575,0,0.09931506849315068,0,0,0,0.06164383561643835,0,0,0.17465753424657535,0,0,0
chinese,0,0,0,0.8534322820037106,0.0018552875695732839,0.0055658627087198514,0,0.00927643784786642,0,0.02040816326530612,0,0.012987012987012988,0.0074211502782931356,0.02411873840445269,0,0,0.04267161410018553,0,0.016697588126159554,0.0055658627087198514
filipino,0.019736842105263157,0,0,0.21710526315789475,0.34210526315789475,0.013157894736842105,0,0.039473684210526314,0.006578947368421052,0.06578947368421052,0,0.013157894736842105,0,0.046052631578947366,0,0,0.15789473684210525,0.013157894736842105,0.039473684210526314,0.02631578947368421
french,0,0,0.00392156862745098,0.00980392156862745,0.00784313725490196,0.39019607843137255,0.00980392156862745,0.00196078431372549,0.0058823529411764705,0.396078431372549,0,0,0,0.023529411764705882,0,0.00196078431372549,0.1392156862745098,0.00980392156862745,0,0
greek,0,0,0,0,0,0.037815126050420166,0.46218487394957986,0.004201680672268907,0.004201680672268907,0.3487394957983193,0,0.004201680672268907,0,0.04201680672268908,0.02100840336134454,0,0.07142857142857142,0.004201680672268907,0,0
indian,0,0,0,0.0066555740432612314,0.0016638935108153079,0.004991680532445923,0.0033277870216306157,0.8685524126455907,0,0.02329450915141431,0,0,0,0.04991680532445923,0.011647254575707155,0.0016638935108153079,0.021630615640599003,0,0.0066555740432612314,0
irish,0,0.006993006993006993,0.006993006993006993,0.02097902097902098,0.006993006993006993,0.11188811188811189,0.006993006993006993,0.013986013986013986,0.15384615384615385,0.1258741258741259,0,0,0,0.04195804195804196,0,0.006993006993006993,0.4755244755244755,0.02097902097902098,0,0
italian,0,0,6.321112515802782e-4,0.0012642225031605564,0,0.02970922882427307,0.010113780025284451,0.0031605562579013905,6.321112515802782e-4,0.8906447534766119,0,0,0,0.017699115044247787,6.321112515802782e-4,0,0.045512010113780026,0,0,0
jamaican,0,0,0.02702702702702703,0.09009009009009009,0.018018018018018018,0.009009009009009009,0,0.18018018018018017,0,0.036036036036036036,0.24324324324324326,0,0,0.16216216216216217,0,0.009009009009009009,0.21621621621621623,0,0.009009009009009009,0
japanese,0,0,0,0.20833333333333334,0,0.006944444444444444,0.006944444444444444,0.059027777777777776,0,0.04861111111111111,0,0.5451388888888888,0.010416666666666666,0.017361111111111112,0,0.003472222222222222,0.08333333333333333,0,0.010416666666666666,0
korean,0,0,0,0.4125,0.00625,0,0.00625,0.00625,0,0.03125,0,0.05,0.4375,0.01875,0,0,0.025,0,0.00625,0
mexican,0.001568627450980392,0,0.001568627450980392,0.003137254901960784,0,0.006274509803921568,7.84313725490196e-4,0.003137254901960784,7.84313725490196e-4,0.03607843137254902,0,0,0,0.9098039215686274,7.84313725490196e-4,0,0.034509803921568626,7.84313725490196e-4,7.84313725490196e-4,0
moroccan,0,0,0,0.005681818181818182,0,0.017045454545454544,0.011363636363636364,0.2159090909090909,0,0.14772727272727273,0,0,0,0.10795454545454546,0.42045454545454547,0,0.06818181818181818,0.005681818181818182,0,0
russian,0,0,0.009708737864077669,0.019417475728155338,0.009708737864077669,0.1650485436893204,0.019417475728155338,0.009708737864077669,0.038834951456310676,0.1262135922330097,0,0,0,0.05825242718446602,0,0.11650485436893204,0.42718446601941745,0,0,0
southern_us,0.0022598870056497176,0,0.0384180790960452,0.00903954802259887,0,0.031638418079096044,0.003389830508474576,0.010169491525423728,0.0011299435028248588,0.09152542372881356,0,0,0,0.07344632768361582,0.0011299435028248588,0,0.7333333333333333,0.004519774011299435,0,0
spanish,0,0,0.025906735751295335,0,0,0.07253886010362694,0.010362694300518135,0.010362694300518135,0,0.48186528497409326,0,0,0,0.18134715025906736,0.010362694300518135,0,0.07253886010362694,0.12953367875647667,0.0051813471502590676,0
thai,0.0035335689045936395,0,0,0.1166077738515901,0.007067137809187279,0.0035335689045936395,0.0035335689045936395,0.053003533568904596,0,0.028268551236749116,0,0,0,0.07420494699646643,0,0,0.02120141342756184,0,0.6749116607773852,0.014134275618374558
vietnamese,0.005813953488372093,0,0,0.20348837209302326,0.011627906976744186,0.005813953488372093,0.005813953488372093,0.005813953488372093,0,0.040697674418604654,0,0,0,0.05232558139534884,0,0,0.023255813953488372,0,0.38372093023255816,0.2616279069767442
